t,beer
1997/1/1,7369
1997/4/1,9464
1997/7/1,9586
1997/10/1,10193
1998/1/1,7283
1998/4/1,9748
1998/7/1,8892
1998/10/1,9837
1999/1/1,7215
1999/4/1,9032
1999/7/1,9315
1999/10/1,10265
2000/1/1,6852
2000/4/1,9070
2000/7/1,8865
2000/10/1,9785
2001/1/1,6811
2001/4/1,8972
2001/7/1,8906
2001/10/1,9939
2002/1/1,7137
2002/4/1,9305
2002/7/1,8820
2002/10/1,9879
2003/1/1,7048
2003/4/1,9286
2003/7/1,9270
2003/10/1,9896
2004/1/1,7318
2004/4/1,9485
2004/7/1,8795
2004/10/1,10043
2005/1/1,7090
2005/4/1,9087
2005/7/1,8995
2005/10/1,9730
2006/1/1,6966
2006/4/1,9500
2006/7/1,8399
2006/10/1,9582
2007/1/1,6783
2007/4/1,8835
2007/7/1,8357
2007/10/1,9180
2008/1/1,6773
2008/4/1,8481
2008/7/1,7780
2008/10/1,8448
2009/1/1,6252
2009/4/1,8063
2009/7/1,7740
2009/10/1,8159
2010/1/1,5965
2010/4/1,8361
2010/7/1,7029
2010/10/1,7795
2011/1/1,5818
2011/4/1,7630
2011/7/1,7248
2011/10/1,7781
2012/1/1,5747
2012/4/1,7204
2012/7/1,6813
2012/10/1,7268
2013/1/1,5587
2013/4/1,6863
2013/7/1,7180
2013/10/1,7368
2014/1/1,5436
2014/4/1,7434
2014/7/1,6846
2014/10/1,7373
2015/1/1,5392
2015/4/1,7055
2015/7/1,7173
2015/10/1,7349
2016/1/1,5335
2016/4/1,7168
2016/7/1,6938
2016/10/1,7282
2017/1/1,5516
2017/4/1,7239
2017/7/1,6809
